Id,Url,Brand,Model,Year,EngineVolume,Power,Drive,Mileage,Price,Region,Engine,Transmission
1149,https://rostov-na-donu.drom.ru/opel/vita/48536694.html,2,7,2002,1.2,75,1,172000.0,220000,9,1,4
1150,https://velikiy-novgorod.drom.ru/opel/vectra/48202694.html,2,5,2000,1.8,115,1,474742.0,165000,57,1,2
1151,https://moscow.drom.ru/opel/astra/47858383.html,2,3,2004,1.6,105,1,250000.0,275000,22,1,3
1152,https://krapivinskiy.drom.ru/opel/meriva/47519581.html,2,11,2003,1.8,125,1,297000.0,295000,58,1,2
1153,https://kemerovo.drom.ru/opel/vita/47190477.html,2,7,2001,1.4,90,1,230000.0,195000,21,1,4
1154,https://zelenokumsk.drom.ru/opel/astra/48887049.html,2,3,2002,1.8,125,1,285000.0,77000,59,1,2
1155,https://bolshie-kolpany.drom.ru/opel/vectra/48885776.html,2,5,2002,1.8,122,1,269200.0,230000,60,1,2
1156,https://gresovskiy.drom.ru/opel/astra/48883463.html,2,3,2004,1.8,125,1,250000.0,269000,61,1,2
1157,https://tyumen.drom.ru/opel/astra/48882078.html,2,3,2000,1.6,101,1,342200.0,180000,43,1,4
1158,https://novosibirsk.drom.ru/opel/vectra/48881757.html,2,5,2002,2.2,147,1,106078.0,230000,23,1,4
1160,https://yevpatoriya.drom.ru/opel/vectra/48191123.html,2,5,2003,2.2,147,1,225000.0,199000,62,1,2
1161,https://ekaterinburg.drom.ru/opel/astra/48189290.html,2,3,2003,1.4,90,1,300000.0,300000,33,1,2
1162,https://moscow.drom.ru/opel/astra/47847910.html,2,3,2001,1.6,84,1,235000.0,180000,22,1,2
1163,https://novosibirsk.drom.ru/opel/omega/46322675.html,2,6,2000,2.2,144,2,274589.0,170000,23,1,4
1164,https://orehovo-zuevo.drom.ru/opel/astra/48874854.html,2,3,2000,1.4,90,1,340000.0,175000,63,1,2
1165,https://mednogorskiy.drom.ru/opel/astra/48874765.html,2,3,2001,1.6,100,1,261000.0,280000,64,1,2
1166,https://lunevo.drom.ru/opel/zafira/48874642.html,2,2,2004,1.8,125,1,182063.0,380000,65,1,2
1167,https://inzer.drom.ru/opel/corsa/48874305.html,2,4,2002,1.0,58,1,130000.0,30000,66,1,2
1168,https://glazov.drom.ru/opel/corsa/48873390.html,2,4,2003,1.2,75,1,239000.0,235000,67,1,2
1169,https://spb.drom.ru/opel/astra/48872941.html,2,3,2003,1.6,100,1,192000.0,180000,25,1,2
1170,https://krasnoyarsk.drom.ru/opel/omega/48871284.html,2,6,2000,2.2,144,2,289000.0,329000,18,1,4
1171,https://novosibirsk.drom.ru/opel/omega/47046299.html,2,6,2000,2.5,170,2,300000.0,120000,23,1,4
1172,https://bratsk.drom.ru/opel/zafira/48865388.html,2,2,2000,1.8,125,1,125000.0,320000,55,1,4
1173,https://yessentuki.drom.ru/opel/omega/48525256.html,2,6,2000,2.5,170,2,200000.0,130000,68,1,4
1174,https://krasnoyarsk.drom.ru/opel/zafira/48522776.html,2,2,2000,1.8,115,1,238000.0,350000,18,1,5
1175,https://hasavyurt.drom.ru/opel/corsa/48184129.html,2,4,2004,1.2,75,1,106000.0,235000,51,1,3
1176,https://krasnoyarsk.drom.ru/opel/omega/48181172.html,2,6,2001,2.2,144,2,100000.0,90000,18,1,4
1177,https://spb.drom.ru/opel/vectra/48177485.html,2,5,2003,2.2,147,1,90000.0,350000,25,1,4
1178,https://kostroma.drom.ru/opel/corsa/48176283.html,2,4,2003,1.0,58,1,200000.0,210000,69,1,2
1179,https://irkutsk.drom.ru/opel/vectra/47836394.html,2,5,2003,1.6,122,1,300000.0,190000,40,1,2
1180,https://osa-irk.drom.ru/opel/vectra/47835109.html,2,5,2002,1.8,122,1,115834.0,250000,70,1,2
1181,https://simferopol.drom.ru/opel/vectra/47509436.html,2,5,2003,2.2,147,1,388947.0,280000,71,1,4
1182,https://tver.drom.ru/opel/vectra/47499739.html,2,5,2001,2.2,147,1,340000.0,125000,72,1,2
1183,https://kokrek.drom.ru/opel/astra/48862304.html,2,3,2004,1.8,125,1,245000.0,315000,73,1,4
1184,https://izhevsk.drom.ru/opel/agila/48153267.html,2,10,2003,0.9,58,1,147000.0,180000,74,1,2
1186,https://kizilyurt.drom.ru/opel/zafira/47817857.html,2,2,2001,1.8,125,1,250000.0,350000,75,1,2
1187,https://kaliningrad.drom.ru/opel/vectra/47809738.html,2,5,2000,2.0,136,1,252957.0,130000,76,1,2
1188,https://tyumen.drom.ru/opel/vivaro/47087996.html,2,12,2003,1.9,87,1,200000.0,430000,43,2,2
1189,https://lyubertsy.drom.ru/opel/astra/48837390.html,2,3,2004,1.6,105,1,251000.0,180000,77,1,3
1190,https://dzhankoy.drom.ru/opel/astra/48145138.html,2,3,2002,1.6,101,1,280000.0,240000,2,1,2
1191,https://sochi.drom.ru/opel/astra/48834430.html,2,3,2003,1.8,125,1,350000.0,150000,78,1,4
1192,https://simferopol.drom.ru/opel/vectra/48829276.html,2,5,2001,1.6,100,1,200000.0,150000,71,1,2
1193,https://yevpatoriya.drom.ru/opel/vectra/46793163.html,2,5,2003,2.2,147,1,392000.0,325000,62,1,4
1194,https://zhigulevsk.drom.ru/opel/astra/48862101.html,2,3,2004,1.6,101,1,340000.0,270000,79,1,2
1195,https://engels.drom.ru/opel/zafira/48860268.html,2,2,2002,1.8,125,1,356637.0,200000,80,1,2
1196,https://kyzyl.drom.ru/opel/vectra/47610320.html,2,5,2004,2.2,155,1,208000.0,350000,81,1,4
1197,https://cheremhovo.drom.ru/opel/vectra/48859466.html,2,5,2001,1.8,125,1,300000.0,70000,82,1,4
1198,https://nizhniy-tagil.drom.ru/opel/agila/48853574.html,2,10,2000,1.0,58,1,167000.0,230000,26,1,2
1199,https://irkutsk.drom.ru/opel/astra/48850761.html,2,3,2003,1.6,101,1,440000.0,150000,40,1,2
1200,https://pushkino.drom.ru/opel/astra/48172243.html,2,3,2001,1.4,90,1,293.0,155000,83,1,2
1201,https://ufa.drom.ru/opel/astra/48162554.html,2,3,2004,2.0,100,1,275000.0,197000,84,2,4
1202,https://novodmitrievskaya.drom.ru/opel/corsa/47825776.html,2,4,2003,1.2,75,1,251000.0,200000,85,1,3
1203,https://chernomorskoe.drom.ru/opel/omega/47824372.html,2,6,2001,2.2,120,2,437000.0,300000,86,2,2
1204,https://kiselevsk.drom.ru/opel/zafira/47821974.html,2,2,2000,2.0,100,1,250000.0,100000,48,2,2
1205,https://moscow.drom.ru/opel/astra/47359403.html,2,3,2001,1.4,90,1,250000.0,125000,22,1,4
1206,https://sochi.drom.ru/opel/vectra/47069944.html,2,5,2004,2.2,147,1,382000.0,350000,78,1,4
1207,https://krasnodar.drom.ru/opel/astra/48846581.html,2,3,2004,1.6,105,1,213000.0,230000,13,1,3
1208,https://omsk.drom.ru/opel/astra/48845631.html,2,3,2003,1.8,125,1,361000.0,250000,16,1,2
1209,https://ekaterinburg.drom.ru/opel/corsa/48842833.html,2,4,2004,1.2,80,1,300000.0,223000,33,1,2
1210,https://verhniy-tagil.drom.ru/opel/vectra/48499582.html,2,5,2001,1.6,100,1,273215.0,175000,87,1,2
1211,https://ekaterinburg.drom.ru/opel/vectra/48838865.html,2,5,2002,2.2,125,1,181951.0,257000,33,2,4
1212,https://omsk.drom.ru/opel/vita/48838197.html,2,7,2002,1.2,75,1,195000.0,320000,16,1,4
1213,https://chernomorskoe.drom.ru/opel/vectra/48504278.html,2,5,2002,1.8,122,1,260000.0,290000,86,1,2
1214,https://barnaul.drom.ru/opel/astra_gtc/49130350.html,2,13,2005,1.8,125,1,300000.0,450000,10,1,4
1215,https://novosibirsk.drom.ru/opel/corsa/47048606.html,2,4,2007,1.2,80,1,221724.0,285000,23,1,3
1216,https://tomsk.drom.ru/opel/astra/49152446.html,2,3,2005,1.6,105,1,235000.0,370000,12,1,2
1217,https://moscow.drom.ru/opel/corsa/49151990.html,2,4,2008,1.4,90,1,208917.0,295000,22,1,4
1218,https://orehovo-zuevo.drom.ru/opel/insignia/48827168.html,2,14,2009,2.0,161,1,302000.0,639000,63,2,2
1219,https://spb.drom.ru/opel/astra/48827191.html,2,3,2007,1.6,105,1,207000.0,259900,25,1,3
1220,https://labytnangi.drom.ru/opel/corsa/48827082.html,2,4,2007,1.2,80,1,115000.0,340000,88,1,3
1221,https://spb.drom.ru/opel/astra_gtc/48826912.html,2,13,2006,1.6,105,1,269450.0,295000,25,1,2
1222,https://kanevskaya.drom.ru/opel/astra/48826931.html,2,3,2007,1.6,105,1,290000.0,410000,89,1,3
1223,https://novorossiysk.drom.ru/opel/zafira/48826903.html,2,2,2006,1.8,140,1,135000.0,300000,90,1,2
1224,https://kuznetsk.drom.ru/opel/zafira/48826798.html,2,2,2007,1.8,140,1,192455.0,459000,91,1,3
1225,https://novorossiysk.drom.ru/opel/corsa/48826439.html,2,4,2007,1.2,80,1,191000.0,325000,90,1,3
1226,https://krasnoyarsk.drom.ru/opel/meriva/48826305.html,2,11,2008,1.6,105,1,156978.0,400000,18,1,3
